Doctor Name,Qualifications,Specializations,Experience,Clinic Address,City,Consultation Fee,,
Dr. Chethan Sathish,"MBBS, MS - General Surgery, MCh - Plastic Surgery",Plastic Surgeon,15 Years Experience Overall,"Kirloskar Business Park, Bellary Road, Landmark: Opposite Dairy Form & Near Esteem Mall, Bangalore",Bangalore,850,,
Dr. Raghavendra Kaladagi,"MBBS, MS - General Surgery, MCh - Plastic Surgery",Plastic Surgeon,13 Years Experience Overall  (5 years as specialist),"216, 7th Main, 80 Feet Road, 1st Block, HRBR Layout, Landmark: Near Om Shakti Temple, Bangalore",Bangalore,1000,,
Dr. Lavanya,"MBBS, MD - Dermatology , Venereology & Leprosy",Dermatologist,5 Years Experience Overall  (1 year as specialist),"639,63rd Cross Road, 5th Block, Landmark: Near Bashyam Circle, Bangalore",Bangalore,600,,
Dr. Karishma Desai,"MBBS, MD - Dermatology , Venereology & Leprosy",Dermatologist,6 Years Experience Overall,"941, 11th Main Road, Sodepur, HAL 2nd Stage, Appareddipalya, Bangalore",Bangalore,800,,
Dr. Kanti Shetty,"MBBS, DNB - General Surgery, DNB - Plastic Surgery",Plastic Surgeon,26 Years Experience Overall  (25 years as specialist),"8th Main Road, 5/2, 13th Cross Road, Landmark: Opposite to Canara Union, Bangalore",Bangalore,800,,
Dr. Bantwal Priya Baliga,"MBBS, MD - Dermatology , Venereology & Leprosy",Dermatologist,9 Years Experience Overall  (3 years as specialist),"2nd Floor, 54, 12th Main Road, Landmark: Above SBI Bank, Bangalore",Bangalore,500,,
Dr. Neema Sandra,"MBBS, MD - Dermatology , Venereology & Leprosy",Dermatologist,9 Years Experience Overall  (4 years as specialist),"216, 7th Main, 80 Feet Road, 1st Block, HRBR Layout, Landmark: Near Om Shakti Temple, Bangalore",Bangalore,850,,
Dr. Spandana,"MBBS, MD - Dermatology , Venereology & Leprosy","Dermatologist, Cosmetologist, Trichologist",5 Years Experience Overall  (2 years as specialist),"637, 15th Main, 11th Cross, C J Vinayakadas Road, Landmark: Opoosite NU Hospital, Bangalore",Bangalore,600,,
Dr. Priyanka Reddy,"MBBS, MD - Dermatology , Venereology & Leprosy","Dermatologist, Cosmetologist",14 Years Experience Overall  (9 years as specialist),"Promenade, 2nd Cross, 80 Feet Road, HRBR Layout 1st Block, Landmark: Opposite Banaswadi Sub Register Office, Bangalore",Bangalore,1800,,
Dr. Mukesh Ramnane,"MBBS, MD - Dermatology , Venereology & Leprosy, DVD",Dermatologist,41 Years Experience Overall  (39 years as specialist),"98, Kodihalli, Landmark: Near HAL Bus Stop, Bangalore",Bangalore,1100,,
Dr. Praveen Rodrigues,"MBBS, MD - Dermatology , Venereology & Leprosy",Dermatologist,26 Years Experience Overall,"673/A, Varthur Main Road, Landmark: Near Kundanahalli Signal & Oppsite Shriram Samruddhi Apartment, Bangalore",Bangalore,800,,
Dr. Sandeep M.A,"MBBS, DDVL","Dermatologist, Aesthetic Dermatologist",13 Years Experience Overall  (12 years as specialist),"1280, Uttarahalli Main Road,RR Nagar, Landmark: Near Mantri Alpine, Bangalore",Bangalore,500,,
Dr. Revanth BN,"MBBS, MD - Dermatology , Venereology & Leprosy","Dermatologist, Aesthetic Dermatologist",16 Years Experience Overall  (7 years as specialist),"101, 1 st  Floor, Suraj Plaza,  8th F Main Road., Landmark: Near ICICI Bank., Bangalore",Bangalore,600,,
Dr. Abdul Samad,"MBBS, MD - Dermatology , Venereology & Leprosy, DVD","Cosmetologist, Dermatologist, Venereologist",31 Years Experience Overall  (28 years as specialist),"323/100/123, Doddathangur Village, Neeladri Main Road, Neeladri Nagar, First Phase, Landmark: Opposite to Ajmera Infinity, Bangalore",Bangalore,650,,
Dr. Pavan Murdeshwar,"MCh - Plastic Surgery, MBBS, MS - General Surgery",Plastic Surgeon,15 Years Experience Overall  (5 years as specialist),"15/3, First Floor, Appareddy Palya, indiranagar Double Road, Landmark: Near OYO Corporate Office, Bangalore",Bangalore,600,,
Dr. Shruthi B R,"MBBS, MD - Dermatology , Venereology & Leprosy",Dermatologist,6 Years Experience Overall,"Second Floor, 52/1, 7th Main Road, Fourth Block, Landmark: Maiyas Hotel, Bangalore",Bangalore,600,,
Dr. Neema Sandra,"MBBS, MD - Dermatology , Venereology & Leprosy",Dermatologist,9 Years Experience Overall  (4 years as specialist),"216, 7th Main, 80 Feet Road, 1st Block, HRBR Layout, Landmark: Near Om Shakti Temple, Bangalore",Bangalore,850,,
Dr. Swathi Krishnappa,"MBBS, MD - Dermatology , Venereology & Leprosy","Dermatologist, Cosmetologist, Venereologist",8 Years Experience Overall  (1 year as specialist),"Number 11&30, Ward Number 6 , Ramaiah Complex, Maruthi Layout, Dasarahalli Main Road, Landmark: Near Kenneth George School, Bangalore",Bangalore,700,,
Dr. Gopal Raj,"MBBS, MS - General Surgery, MCh - Plastic Surgery, MRCS (UK)",Plastic Surgeon,35 Years Experience Overall  (32 years as specialist),"8th Main Road, 5/2, 13th Cross Road, Landmark: Opposite to Canara Union, Bangalore",Bangalore,800,,
Dr. Gautham M,"MBBS, MS - General Surgery, MCh - Plastic Surgery","Plastic Surgeon, Plastic Reconstruction Surgeon, Burn Surgeon",20 Years Experience Overall  (10 years as specialist),"#4/1, Tumkur Main Road, Yeshwantpur,, Landmark: Next to RNS Motors, Bangalore",Bangalore,850,,
Dr. Karan Shetty,"MCh - Plastic Surgery, MBBS, MS - General Surgery","Plastic Surgeon, Cosmetologist, Hair Transplant Surgeon",16 Years Experience Overall  (8 years as specialist),"192, T Mariyappa Road, Lalbagh, Jayanagar, Landmark: Lalbagh, near Ashoka Pillar, Bangalore",Bangalore,900,,
Dr. Bantwal Priya Baliga,"MBBS, MD - Dermatology , Venereology & Leprosy",Dermatologist,9 Years Experience Overall  (3 years as specialist),"2nd Floor, 54, 12th Main Road, Landmark: Above SBI Bank, Bangalore",Bangalore,500,,
Dr. Deepak Shetty,"MBBS, MS - General Surgery, MCh - Plastic Surgery","Plastic Surgeon, Plastic Reconstruction Surgeon",21 Years Experience Overall  (19 years as specialist),"71/1, Vasanth Nagar, Landmark: Opposite to St Annes College & Beside Navnit Motors, Bangalore",Bangalore,1000,,
Dr. Ambresh Badad,"MBBS, MD - Dermatology , Venereology & Leprosy",Dermatologist,11 Years Experience Overall  (9 years as specialist),"Number 5, Commerical Complex, Rainbow Drive Layout, Landmark: Opposite to Wipro Gate, Bangalore",Bangalore,300,,
Dr. Rajitha Alluri,"MBBS, MD - Dermatology , Venereology & Leprosy",Dermatologist,10 Years Experience Overall  (4 years as specialist),"2nd Floor, 54, 12th Main Road, Landmark: Above SBI Bank, Bangalore",Bangalore,650,,
Dr. Priya Vernekar,"MBBS, MD - Dermatology , Venereology & Leprosy","Dermatologist, Aesthetic Dermatologist, Trichologist, Hair Transplant Surgeon, Cosmetologist",14 Years Experience Overall  (7 years as specialist),"5, A & A1, Arya Hub Mall, Number.12/2,13/1B, ITPL Main Road, Prasanth Extension., Landmark: Near Hope Farm Busstop., Bangalore",Bangalore,700,,
Dr. Raji Babu. G,"DDVL, MBBS","Dermatologist, Hair Transplant Surgeon, Dermatosurgeon",13 Years Experience Overall  (8 years as specialist),"62, 8th B Main Road, Landmark: Near Nandini Hotel, Bangalore",Bangalore,600,,
Dr. Gururaj H,"MBBS, DNB - General Surgery, DNB - Plastic Surgery",Plastic Surgeon,23 Years Experience Overall  (6 years as specialist),"Number- 8, Ideal Homes Township, HBCS Layout, Landmark: Opposite to Icon Internation School, Bangalore",Bangalore,1000,,
Dr. Sindhu.P.S,"MBBS, DDVL, DNB - Dermatology & Venereology",Dermatologist,14 Years Experience Overall  (11 years as specialist),"435, 1st Floor, 27th Main, Sector-1, Landmark: Opposite Vodafone Show Room, Bangalore",Bangalore,500,,
Dr. Vybhav Deraje,"MBBS, MS - General Surgery, DNB - Plastic Surgery",Plastic Surgeon,16 Years Experience Overall  (9 years as specialist),"222/220/A, Second Floor, Sadaramangala, Krishnarajapura., Landmark: Opposite Sheraton Grand Hotel,Above BMW Deutsche Motoren Showroom, Bangalore",Bangalore,950,,
Dr. Chethana R,"BDS, MDS - Oral & Maxillofacial Surgery",Hair Transplant Surgeon,10 Years Experience Overall  (3 years as specialist),"# 46,CMH Road , Indiranagar 2nd Stage ,Bangalore, Bangalore",Bangalore,800,,
Dr. Sudha Rani Badri,"MBBS, DDVL",Dermatologist,17 Years Experience Overall  (15 years as specialist),"673/A, Varthur Main Road, Landmark: Near Kundanahalli Signal & Oppsite Shriram Samruddhi Apartment, Bangalore",Bangalore,600,,
Dr. Sanjog Sharma,"MBBS, MS - General Surgery, DNB - Plastic Surgery",Plastic Surgeon,13 Years Experience Overall  (5 years as specialist),"4M-403, Second Floor, Trine House, Kammanahalli Main Road, Kalyan Nagar, Landmark: Above KFC, Bangalore",Bangalore,950,,
Dr. Shoba S M,"MBBS, DDVL","Dermatologist, Cosmetologist",11 Years Experience Overall  (8 years as specialist),"New Number 1, Old Number 28, Platform Road, Landmark: Near Mantri Mall, Bangalore",Bangalore,740,,
Dr. Rajasvi Vithal Pujar,"MBBS, DDVL",Dermatologist,16 Years Experience Overall  (7 years as specialist),"17, RMV 2nd Stage, Landmark: Opposite World of Titan, Near ITI Layout Bus Stop, Bangalore",Bangalore,500,,
Dr. Pradeep Y V,"MBBS, MS - General Surgery, MCh - Plastic Surgery","Plastic Surgeon, Hair Transplant Surgeon, Plastic Reconstruction Surgeon, Burn Surgeon",23 Years Experience Overall  (12 years as specialist),"New Number 1, Old Number 28, Platform Road, Landmark: Near Mantri Mall, Bangalore",Bangalore,740,,
Dr. Pradeep Kumar N,"MBBS, DNB - Plastic Surgery",Plastic Surgeon,11 Years Experience Overall  (5 years as specialist),"Number 43, Ground Floor, Landmark: Next to Hasanath College, Bangalore",Bangalore,800,,
Dr. Patel Nishtha Hitendrabhai,"MBBS, MD - Dermatology",Dermatologist,2 Years Experience Overall,"No:41, Vinyas Tower Ring Road,  J.P Nagar 4th Phase, Landmark: Above HDFC Bank Bannerghata Ring Road Junction., Bangalore",Bangalore,1000,,
Dr. Swagata Chakrabarty,"MBBS, MD - Dermatology",Dermatologist,14 Years Experience Overall,"7 and 8, Brindavan Apartments Number 66/1, Hosur Road, Adugodi, Landmark: Opposite TATA Docomo Head Office, Bangalore",Bangalore,500,,
Dr. Veena Praveen,"MBBS, DDVL",Dermatologist,19 Years Experience Overall  (15 years as specialist),"106/107, Shop Number S 42, Phoenix Market City, Landmark: Opposite Mahadevpura PNC Whitefield Road and Beside BIBA, Bangalore",Bangalore,500,,
Dr. Meenakshi K,"MBBS, DVD",Dermatologist,18 Years Experience Overall  (12 years as specialist),"#397,  13th cross, Ground floor,Pomona chambers, Sadashivnagar, Bangalore",Bangalore,500,,
Dr. Poojita B S,"MD - Dermatology , Venereology & Leprosy, MBBS",Dermatologist,6 Years Experience Overall  (1 year as specialist),"422, 1st Floor, Vibhu Complex, 27th Main Road, Sector 1, Landmark: Near ICICI Bank, Bangalore",Bangalore,2000,,
Dr. Soujanyashree Athani,"MD - Dermatology , Venereology & Leprosy, MBBS",Dermatologist,2 Years Experience Overall  (1 year as specialist),"3A/3, Nanjappa Road, Landmark: Above Family Tree Clinic, Bangalore",Bangalore,600,,
Dr. Rajitha Alluri,"MBBS, MD - Dermatology , Venereology & Leprosy",Dermatologist,10 Years Experience Overall  (4 years as specialist),"2nd Floor, 54, 12th Main Road, Landmark: Above SBI Bank, Bangalore",Bangalore,650,,
Dr. Samujjala Deb Chatterjee,"MD - Dermatology, MBBS","Dermatologist, Dermatosurgeon, Pediatric Dermatologist",12 Years Experience Overall  (5 years as specialist),"Plot No: 219 P, Iman Kalyan Sarani, Sector IIC, Bidhannagar, Durgapur, Bardhaman",Bardhaman,400,,
Dr. Nitin Mishra,"MBBS, MD - Dermatology , Venereology & Leprosy",Dermatologist,19 Years Experience Overall  (13 years as specialist),"35 F, Landmark: Infront Of Vikas Bhavan & Near Anand Ashram, , Opposite Rampur Garden, Bareilly",Bareilly,300,,
Dr. Vijay Gupta,"MD - Dermatology, MBBS","Dermatologist, Cosmetologist",16 Years Experience Overall  (10 years as specialist),"04, Akash Ganga Colony, Landmark: Pilibhit Bypass Road, Bareilly",Bareilly,500,,
Dr. Rahul Kumar,"MBBS, MD - Dermatology , Venereology & Leprosy",Dermatologist,15 Years Experience Overall  (9 years as specialist),"#35-E/1,Anand Ashram Road,Rampur Garden., Landmark: Opp Vikash Bhawan., Bareilly",Bareilly,400,,
Dr. Shelly,"MBBS, MD - Dermatology , Venereology & Leprosy","Dermatologist, Cosmetologist",7 Years Experience Overall  (4 years as specialist),"Railway Road, Landmark: Near Veer Colony, Bathinda",Bathinda,600,,
Dr. Ishan Goyal,"MD - Dermatology , Venereology & Leprosy, MBBS",Dermatologist,8 Years Experience Overall  (3 years as specialist),"803, The Mall Road., Landmark: Behind K.K Laboratory ., Bathinda",Bathinda,250,,
Dr. Manish Bansal,"MD - Dermatology , Venereology & Leprosy",Dermatologist,19 Years Experience Overall  (15 years as specialist),"The Mall Road, Landmark: Near Hanuman Chowk, Bathinda",Bathinda,200,,
Dr. Rahul Sanap,"MBBS, DVD","Dermatologist, Cosmetologist",14 Years Experience Overall  (2 years as specialist),"Adarsh Nagar, Dr Lane, DP Road, Beed",Beed,500,,
Dr. Darshan Rajput,"MCh - Plastic Surgery, MBBS, MS - General Surgery","Plastic Surgeon, Hair Transplant Surgeon",19 Years Experience Overall  (14 years as specialist),"Civil Hospital Road, Ayodya Nagar, Landmark: Beside Adinnarayan Hotel & Near Kolhapur Circle, Belgaum",Belgaum,300,,
Dr. Manjunath V M,"MD - Dermatology , Venereology & Leprosy, MBBS",Dermatologist,18 Years Experience Overall  (8 years as specialist),"Samadevi Galli, Landmark: Near Samadevi Mandir, Belgaum",Belgaum,300,,
Dr. Amit Tiwari,"MD - Dermatology , Venereology & Leprosy",Dermatologist,11 Years Experience Overall  (10 years as specialist),"#9,krishnanagar,near canara bank, Bharatpur, Bharatpur",Bharatpur,100,,
Dr. Kinal Joshi,"MBBS, DDVL","Dermatologist, Aesthetic Dermatologist, Trichologist",11 Years Experience Overall  (7 years as specialist),"Jail Road, Landmark: Opposite A Division Police Station, Bhavnagar",Bhavnagar,600,,
Dr. Pravallitha Sandipam,"MBBS, MD - Dermatology , Venereology & Leprosy",Dermatologist,9 Years Experience Overall  (5 years as specialist),"Opp Veramacheruvu Park ,Near Bus Stand, Bhimavaram",Bhimavaram,200,,
Dr. Ajay Singh Raghuwanshi,"MBBS, MD - Dermatology , Venereology & Leprosy","Dermatologist, Cosmetologist, Trichologist",12 Years Experience Overall  (3 years as specialist),"449 E-7 Arera Colony 1100 Quaters, Landmark: In Front of Hanuman Mandir, Bhopal",Bhopal,500,,
Dr. Aparna Sahu,"MBBS, DDVL","Dermatologist, Aesthetic Dermatologist, Dermatosurgeon, Pediatric Dermatologist, Trichologist, Cosmetologist",10 Years Experience Overall  (9 years as specialist),"33-9A Shikhar Tower, Saket Nagar, Landmark: Above Ondoor Supermarket, Bhopal",Bhopal,400,,
Dr. Vivek Kumar Dey,"MBBS, MD - Dermatology , Venereology & Leprosy","Dermatologist, Cosmetologist, Hair Transplant Surgeon",21 Years Experience Overall  (14 years as specialist),"29 & 30, Chanakyapuri, Minaal Gate Number 1, J K Road, Landmark: Above Indian Bank, Bhopal",Bhopal,500,,
Dr. Anil Mohite,"MBBS, MD - Dermatology , Venereology & Leprosy","Dermatologist, Cosmetologist, Hair Transplant Surgeon",14 Years Experience Overall  (6 years as specialist),"2nd Floor, Bittan Market, Landmark: Above Amer Bakery Hut, Opposite Habibganj Police Station, Bhopal",Bhopal,300,,
Dr. Pooja Gupta,"MBBS, MD - Dermatology , Venereology & Leprosy","Dermatologist, Hair Transplant Surgeon, Trichologist",13 Years Experience Overall  (7 years as specialist),"2nd Floor, Bittan Market, Landmark: Above Amer Bakery Hut, Opposite Habibganj Police Station, Bhopal",Bhopal,300,,
Dr. Faisal Aman Khan,"MBBS, DDVL","Dermatologist, Cosmetologist",20 Years Experience Overall  (14 years as specialist),"42, Old MLA Quarter, Jawahar Chowk, Landmark: Near Natkhat Hospital, Bhopal",Bhopal,300,,
Dr. Nitin Pandya,MD - Skin & VD,"Dermatologist, Cosmetologist",18 Years Experience Overall,"#29, New Taj Market, Landmark: Opp. Gandhi Medical College., Bhopal",Bhopal,400,,
Dr. Akhilesh Agrawal,"MBBS, DDVL",Dermatologist,21 Years Experience Overall  (20 years as specialist),"# Showroom No.1, Upper Ground Floor, Metro Plaza, Bitten Market, Landmark: Besides Arjun Fitness Club., Bhopal",Bhopal,350,,
Dr. Anand Jayant Kale,"MBBS, MS - General Surgery, MCh - Plastic Surgery",Plastic Surgeon,20 Years Experience Overall  (17 years as specialist),"B-27, Kasturba Nagar, Landmark: Near Chetak Bridge, Bhopal",Bhopal,700,,
Dr. Shyam Govind Rathoria,"MD - Dermatology, MBBS","Dermatologist, Dermatosurgeon, Aesthetic Dermatologist",16 Years Experience Overall  (9 years as specialist),"Neori Mandir Road, Landmark: Near Gufa Mandir, Bhopal",Bhopal,400,,
Dr. Yogesh Rathore,"MBBS, DDVL",Dermatologist,13 Years Experience Overall  (7 years as specialist),"#106D, First Floor, Perfect Plaza, Beemakunj., Landmark: Near To Beemakunj Bus Stop., Bhopal",Bhopal,300,,
Dr. Arun Bhatnagar,"MS - General Surgery, MCh - Burns & Plastic Surgery",Plastic Surgeon,36 Years Experience Overall  (29 years as specialist),"#E-12/45 Bungalows., Landmark: Near GTB complex, Bhopal",Bhopal,1500,,
Dr. Priyanka Gupta,MD - Skin & VD,"Dermatologist, Dermatosurgeon",13 Years Experience Overall  (11 years as specialist),"C-Sector, Landmark: Near Shahpura Lake., Bhopal",Bhopal,300,,
Dr. Sunil Rathore,"MBBS, MCh - Plastic Surgery","Plastic Surgeon, Hair Transplant Surgeon, Burn Surgeon",17 Years Experience Overall  (6 years as specialist),"C-Sector, Landmark: Near Shahpura Lake., Bhopal",Bhopal,500,,
Dr. Annant Choubey,"MDS, BDS","Dentist, Hair Transplant Surgeon",13 Years Experience Overall  (5 years as specialist),"# D-1/9, Hosangabad Road, Danish Nagar, Landmark: Near Ashima Mall, Bhopal, Bhopal",Bhopal,300,,
Dr. Tanya Trivedi,Diploma in Dermatology,Dermatologist,11 Years Experience Overall  (7 years as specialist),"#FB-1, STC Palm Square Building, Lalghati Square, Landmark: Behind Domino's Shop., Bhopal",Bhopal,250,,
Dr. Ekta Sahu,"MBBS, MD - Dermatology , Venereology & Leprosy",Dermatologist,14 Years Experience Overall  (6 years as specialist),"E-4/88, Arera Colony, Landmark: Near 10 Number Stop & Market, Bhopal",Bhopal,400,,
Dr. Nidhi Choudhary,"MD - Dermatology , Venereology & Leprosy","Dermatologist, Cosmetologist",10 Years Experience Overall  (7 years as specialist),"HIG 136, C Sector, Vidya Nagar Hoshangabad Road, Bhopal",Bhopal,400,,
Dr. Animesh Saxena,"MBBS, MD - Dermatology , Venereology & Leprosy","Dermatosurgeon, Dermatologist",12 Years Experience Overall  (8 years as specialist),"First Floor, C-6, Landmark: Near Prabhat Square Bho, Bhopal",Bhopal,300,,
Dr. Apoorv Jain,"MBBS, DVD",Dermatologist,24 Years Experience Overall  (23 years as specialist),"#44, Old MLA Quarters, Jawahar Chowk, Landmark: Close To Katju Hsopital., Bhopal",Bhopal,400,,
Dr. Shreyansh Tiwari,"MBBS, Diploma in Dermatology","General Physician, Dermatologist",17 Years Experience Overall  (12 years as specialist),"#E2/66. Landmark: Near Allahabad Bank., Bhopal",Bhopal,200,,
Dr. Nidhi Rana,"MBBS, MD - Dermatology , Venereology & Leprosy",Dermatologist,11 Years Experience Overall  (4 years as specialist),"Block E 1st Floor Surendra landmark, Hoshangabad Road, Landmark: Near Aashima Mall, Bhopal",Bhopal,300,,
Dr. Sumeet Jaiswal,"MBBS, MS - General Surgery, MCh - Plastic Surgery","Plastic Surgeon, Hair Transplant Surgeon, Burn Surgeon",21 Years Experience Overall  (11 years as specialist),"Link Road 3, Char Imli, Rishi Nagar, Landmark: With in Akshay Hospital & Opposite Ekanth Park, Bhopal",Bhopal,500,,
Dr. Abhishek Kumar Gupta,"MBBS, MD - Dermatology , Venereology & Leprosy",Dermatologist,10 Years Experience Overall  (3 years as specialist),"Shop No 3, Vineet Kunj Kolar Road, Bhopal",Bhopal,200,,
Dr. Manish Rathore,"MBBS, Diploma in Dermatology",Dermatologist,31 Years Experience Overall  (23 years as specialist),"10 Number Shop, Arera Colony. Landmark: Opposite Chappan Bhog, Bhopal",Bhopal,500,,
Dr. Vishal Rampuri,"MBBS, MS - General Surgery, MCh - Plastic Surgery","Plastic Surgeon, Plastic Reconstruction Surgeon",17 Years Experience Overall  (6 years as specialist),"H.no 33, 1st floor, above ondoor,  Saket Nagar, Bhopal, Madhya Pradesh 462022, India, Landmark: near sagar public school,, Bhopal",Bhopal,500,,
Dr. Yogesh Valecha,Diploma in Dermatology,Dermatologist,19 Years Experience Overall  (15 years as specialist),"#B 2/9, Mini Market, Chanchal Road, Bairagarh., Bhopal",Bhopal,200,,
Dr. Hari Shankar Singh,"MBBS, MS - General Surgery, MCh - Plastic Surgery",Plastic Surgeon,10 Years Experience Overall  (8 years as specialist),"Girdhar Height - 1, Danish Kunj, Bhopal",Bhopal,500,,
Dr. Satyabrata Tripathy,"MD - Skin & VD, MBBS","Dermatologist, Venereologist",18 Years Experience Overall  (16 years as specialist),"Plot Number 251, Samantpuri, Khordha, Landmark: Near Old Sainik School Road, Bhubaneswar",Bhubaneswar,600,,
Dr. Laxmikanta Mishra,"MBBS, MS - General Surgery, MCh - Plastic Surgery",Plastic Surgeon,25 Years Experience Overall  (14 years as specialist),"Plot Number 251, Samantpuri, Khordha, Landmark: Near Old Sainik School Road, Bhubaneswar",Bhubaneswar,600,,
Dr. Aishwarya Bedi,"MD - Dermatology , Venereology & Leprosy, MBBS",Dermatologist,8 Years Experience Overall  (3 years as specialist),"Plot Number 1, Landmark: Near Jaydev Vatika Park, Bhubaneswar",Bhubaneswar,800,,
Dr. Anita Rath,"MBBS, MD - Skin & VD",Dermatologist,26 Years Experience Overall  (14 years as specialist),"Ashu Skin Care Road, Landmark: Near IDBI Bank, Biju Pattnaik College Road, Bhubaneswar",Bhubaneswar,500,,
Dr. Laxman Besra,"MBBS, MD - Dermatology , Venereology & Leprosy","Dermatologist, Dermatosurgeon, Aesthetic Dermatologist",11 Years Experience Overall  (9 years as specialist),"Sailashree Vihar, Bhubaneswar Khurda, Odisha, Landmark: Opposite DAV Public School, Bhubaneswar",Bhubaneswar,400,,
Dr. Bikash Ranjan Kar,"MBBS, MD - Dermatology , Venereology & Leprosy","Dermatosurgeon, Dermatologist",23 Years Experience Overall  (20 years as specialist),"MIG-A/9, BRIT Colony Street, BRIT Colony, Nilakantha Nagar, Landmark: Near Stewart School, Bhubaneswar",Bhubaneswar,600,,
Dr. Satyartha Prakash,"MD - Physician, Fellowship In Cosmetic And Plastic Surgery, Fellowship in Aesthetic Medicine (FAM)","Cosmetologist, Plastic Surgeon",20 Years Experience Overall  (14 years as specialist),"N1-46, IRC Village, Nayapalli, Landmark: Millenium Hospital, Bhubaneswar",Bhubaneswar,500,,
Dr. Sunil Kumar Rout,"MBBS, MS - General Surgery, MCh - Plastic Surgery",Plastic Surgeon,20 Years Experience Overall  (16 years as specialist),"Om Tower, Landmark: NH 5 Fly over, Bhubaneswar",Bhubaneswar,500,,
Dr. Devendra Mohan Sahu,"MBBS, MD - Dermatology , Venereology & Leprosy","Venereologist, Dermatologist",62 Years Experience Overall  (55 years as specialist),"Rashmi Lawns, Tankapani Road, Landmark: Near BMC Community Center, Bhubaneswar",Bhubaneswar,500,,
Dr. Alok Sahoo,"MBBS, MD - Dermatology , Venereology & Leprosy","Dermatologist, Hair Transplant Surgeon, Dermatosurgeon",10 Years Experience Overall  (7 years as specialist),"Plot Number 516/1810/4155, Khata 474/2499, D-1 Square, 2nd Floor, Mauza, Bhubaneswar",Bhubaneswar,600,,
Dr. Partha Mohapatra,"MBBS, MD - Dermatology , Venereology & Leprosy",Dermatologist,18 Years Experience Overall  (3 years as specialist),"A/32, Unit 4, Near Rabindra Mandap,Near Masjid,, Bhubaneswar",Bhubaneswar,500,,
Dr. Akshay Rout,"MBBS, MS - General Surgery, MCh - Plastic Surgery",Plastic Surgeon,27 Years Experience Overall  (18 years as specialist),"Forest Park, Landmark: Near Sisubhaban Square, Bhubaneswar",Bhubaneswar,500,,
Dr. Devidutta Mohanty,"MBBS, MS - General Surgery, MCh - Plastic Surgery","Plastic Surgeon, General Surgeon",20 Years Experience Overall  (15 years as specialist),"Plot No 208, Cuttack Puri Road, Landmark: Near Okilbaag Complex, Bhubaneswar",Bhubaneswar,500,,
Dr. Chinmaya Chiranjibi Samal,MCh - Plastic & Reconstructive Surgery,Plastic Surgeon,10 Years Experience Overall  (6 years as specialist),"15/1, Civic Centre, Road Number 1, Block N5, IRC Village, Landmark: Near Hotel Crown, Bhubaneswar",Bhubaneswar,500,,
Dr. Manas Ranjan Puhan,MD - Skin & VD,"Dermatologist, Dermatosurgeon, Cosmetologist, Venereologist, Pediatric Dermatologist, Hair Transplant Surgeon",14 Years Experience Overall  (10 years as specialist),"Plot Number L3/145, 1st Left Road on The Way From Acharya Vihar to Jaydev Vihar, Bhubaneswar",Bhubaneswar,500,,
Dr. Kumar Abhishek,"MBBS, MD - Dermatology , Venereology & Leprosy, DNB - Dermatology & Venereology","Dermatologist, Aesthetic Dermatologist, Dermatosurgeon",12 Years Experience Overall  (5 years as specialist),"15/1, Civic Centre, Road Number 1, Block N5, IRC Village, Landmark: Near Hotel Crown, Bhubaneswar",Bhubaneswar,300,,
Dr. Nikunja Kumar Dash,"MD - Skin & VD, MBBS","Dermatologist, Sexologist, Venereologist",17 Years Experience Overall  (14 years as specialist),"Qtr.Number IVA -29/5, 4Th Street, Unit-2, Landmark: Near Government Capital Nursery, Bhubaneswar",Bhubaneswar,500,,
Dr. Chinmoy Raj,"MD - Dermatology , Venereology & Leprosy","Dermatologist, Trichologist, Venereologist, Immunodermatologist",5 Years Experience Overall,"Mishra Drug House, Soubhagya Nagar, Landmark: In Front Of State Bank Of India, Bhubaneswar",Bhubaneswar,500,,
Dr. Maheshwari R S,"MBBS, MD - Dermatology , Venereology & Leprosy",Dermatologist,9 Years Experience Overall  (3 years as specialist),"Ganesh Maidan Road, Mohan Market, Bidar",Bidar,500,,
Dr. Akshat Agarwal,"MBBS, DDVL",Dermatologist,14 Years Experience Overall  (9 years as specialist),"Krishna Plaza, Judgi Road, Landmark: Near Srs Mall, Bijnor",Bijnor,250,,
Dr. Jaya Verma,"MBBS, MD - Skin,VD & Leprosy",Dermatologist,17 Years Experience Overall  (13 years as specialist),"1-E-167, Landmark: Behind PNB & Near Murti Circle, Bikaner",Bikaner,200,,
Dr. Ankita Mundada,"MD - Dermatology , Venereology & Leprosy, MBBS",Dermatologist,13 Years Experience Overall  (4 years as specialist),"Rajshri complex, Shastri nagar,, Landmark: Opposite TB Clinic, Bikaner",Bikaner,400,,
Dr. Rakesh Pandey,"MBBS, MCh - Plastic Surgery",Plastic Surgeon,25 Years Experience Overall,"Seepat Rd, Rajkishore Nagar, Chhattisgarh, Landmark: Opp Suresh Bhojnalay, Bilaspur",Bilaspur,500,,
Dr. Mohan Gupta,"MBBS, DVD",Dermatologist,31 Years Experience Overall  (27 years as specialist),"Seepat Rd, Rajkishore Nagar, Chhattisgarh, Landmark: Opp Suresh Bhojnalay, Bilaspur",Bilaspur,400,,
Dr. David Henry,"MBBS, DVD","Dermatologist, Cosmetologist",30 Years Experience Overall  (28 years as specialist),"Near shaper school,Kundan, Bilaspur, Chhattisgarh., Bilaspur",Bilaspur,200,,
